施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
八ツ山保育園	2017	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
八ツ山保育園	2017	1	1	""	7	40	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
八ツ山保育園	2017	2	2	""	2	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
八ツ山保育園	2017	3	3	""	3	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
八ツ山保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
八ツ山保育園	2017	5	5	""	1	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
ゆたか保育園	2017	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
ゆたか保育園	2017	1	1	""	9	41	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
ゆたか保育園	2017	2	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
ゆたか保育園	2017	3	3	""	7	38	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
ゆたか保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
ゆたか保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
ひがしやつやま保育園	2017	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
ひがしやつやま保育園	2017	1	1	""	6	40	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
ひがしやつやま保育園	2017	2	2	""	9	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
ひがしやつやま保育園	2017	3	3	""	15	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
ひがしやつやま保育園	2017	4	4	""	15	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
